"shot_id","episode","scene_num","shot_number","duration","shot_type","camera_angle","camera_movement","lens","focus","key_light","lighting_style","color_temp","light_direction","shadows","framing","depth","headroom","lead_room","character","emotion","action","eyeline","blocking","location","time_of_day","weather","props","costume","color_palette","dialogue","sfx","music","ambience","transition_in","transition_out","pacing","beat","phase","prompt_style","prompt_camera","prompt_mood","prompt_lighting","reference"
"E018_S037","18","5","37","3.0","OTS","Worm-eye","Crane-up","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Side-R","Dramatic","Golden-ratio","Layered","Cropped","Off-frame","段小樓","崩潰","關鍵動作","Down","Exit-R","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","環境音","","安靜","Match-cut","Cut","Fast","Climax","承","Film-grain","ots shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E018_S038","18","5","38","4.0","POV","Worm-eye","Crane-down","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Back","Dramatic","Symmetry","Layered","Cropped","Off-frame","程蝶衣","抉擇","關鍵動作","Off-screen-R","Exit-L","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","呼吸聲","","壓抑","J-cut","Cut","Slow","Release","承","Film-grain","pov shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E018_S039","18","5","39","2.3","2Shot","Worm-eye","Handheld","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Top","Dramatic","Dynamic","Layered","Cropped","Off-frame","程蝶衣","崩潰","轉變","Up","Enter-R","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","風聲","","嘈雜","L-cut","Cut","Slow","Release","承","Film-grain","2shot shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E018_S040","18","5","40","2.9","ECU","Worm-eye","Steadicam","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","程蝶衣","覺醒","關鍵動作","Camera","Enter-L","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","我本是男兒郎","人群嘈雜","悲傷二胡","安靜","Cut","Fade-out","Slow","Release","承","Film-grain","ecu shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S001","19","1","1","3.1","CU","Eye-level","Pan-L","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Side-L","Harsh","Center","FG-focus","Tight","Lead-left","程蝶衣","滄桑","緩步走來","Off-screen-R","Turn","現代劇院","日間","室內","舞台","便裝","灰藍冷色","","","","安靜","Fade-in","Cut","Slow","Setup","承","Film-grain","cu shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S002","19","1","2","3.0","MCU","Eye-level","Pan-R","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Side-R","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","管場人","懷舊","緩步走來","Off-screen-L","Enter-R","現代劇院","日間","室內","京劇頭面","便裝","灰藍冷色","","鑼鼓聲","","壓抑","Fade-in","Cut","Slow","Setup","承","Film-grain","mcu shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S003","19","1","3","3.6","MS","Eye-level","Tilt-up","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Back","Harsh","Symmetry","FG-focus","Tight","Lead-left","段小樓","滄桑","緩步走來","Up","Exit-L","現代劇院","日間","室內","京劇頭面","便裝","灰藍冷色","","呼吸聲","","迴響","Fade-out","Cut","Slow","Setup","承","Film-grain","ms shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S004","19","1","4","3.7","MLS","Eye-level","Tilt-down","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Top","Harsh","Dynamic","FG-focus","Tight","Lead-left","管場人","疏離","環顧四周","Off-screen-R","Static","現代劇院","日間","室內","京劇頭面","便裝","灰藍冷色","","","","迴響","Wipe","Cut","Slow","Setup","承","Film-grain","mls shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S005","19","1","5","2.7","LS","Eye-level","Dolly-in","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","商販","畏怯","張望","Down","Cross","北平廟會","日間","雪天","糖葫蘆","破舊棉襖","暖黃雜色","臭婊子","鑼鼓聲","","安靜","Match-cut","Cut","Slow","Setup","承","Film-grain","ls shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S006","19","1","6","3.9","ELS","Eye-level","Dolly-out","Wide 24mm","Deep","Hard-key","Low-key","Warm-3200K","3-point","Harsh","Center","FG-focus","Tight","Lead-left","小豆子娘","市井","牽手走路","Off-screen-R","Static","北平廟會","日間","雪天","攤販貨物","老式旗袍","暖黃雜色","","風聲","","嘈雜","J-cut","Cut","Medium","Build","承","Film-grain","els shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S007","19","1","7","2.7","OTS","High-angle","Truck-L","Wide 24mm","Deep","Hard-key","Low-key","Warm-3200K","Front","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","小豆子","畏怯","躲避搭訕","Up","Exit-L","北平廟會","日間","雪天","攤販貨物","破舊棉襖","暖黃雜色","","風聲","","迴響","L-cut","Cut","Medium","Build","承","Film-grain","ots shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S008","19","1","8","3.8","POV","High-angle","Truck-R","Wide 24mm","Deep","Soft-key","Low-key","Warm-3200K","Side-L","Harsh","Symmetry","MG-focus","Tight","Lead-left","路人","市井","躲避搭訕","Up","Enter-R","北平廟會","日間","雪天","年貨","各色服飾","暖黃雜色","","衣物摩擦","","迴響","Cut","Cut","Medium","Build","承","Film-grain","pov shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S009","19","2","9","2.4","2Shot","High-angle","Crane-up","Wide 24mm","Deep","Soft-key","Low-key","Warm-3200K","Side-R","Harsh","Dynamic","MG-focus","Tight","Lead-left","關師傅","恐懼","哭泣","Down","Exit-R","關家科班","黃昏","陰冷","練功墊","練功服","土褐暗色","","風聲","","嘈雜","Dissolve","Cut","Medium","Build","承","Film-grain","2shot shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S010","19","2","10","2.6","ECU","High-angle","Crane-down","Wide 24mm","Shallow","Soft-key","Low-key","Neutral-5600K","Back","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小石頭","恐懼","偷看","Up","Exit-L","關家科班","黃昏","陰冷","竹竿","練功服","土褐暗色","打死我也不跑了","風聲","京劇過門","迴響","Fade-in","Cut","Medium","Build","承","Film-grain","ecu shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S011","19","2","11","2.7","CU","High-angle","Handheld","Wide 24mm","Shallow","Soft-key","Low-key","Neutral-5600K","Top","Soft","Center","MG-focus","Normal","Lead-right","學徒們","堅毅","哭泣","Off-screen-L","Enter-L","關家科班","黃昏","陰冷","練功墊","練功服","土褐暗色","","鑼鼓聲","","壓抑","Fade-out","Cut","Medium","Build","承","Film-grain","cu shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S012","19","2","12","3.8","MCU","High-angle","Steadicam","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","Bottom","Soft","Golden-ratio","MG-focus","Normal","Lead-right","關師傅","威嚴","偷看","Camera","Enter-L","關家科班","黃昏","陰冷","刀胚子","破衣","土褐暗色","","環境音","","安靜","Wipe","Cut","Medium","Build","承","Film-grain","mcu shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S013","19","2","13","3.7","MS","High-angle","Drone","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","3-point","Soft","Symmetry","MG-focus","Normal","Lead-right","小豆子娘","痛楚","掙扎","Off-screen-R","Static","胡同磨刀攤","日間","雪天","毡帽","破舊棉襖","白灰血紅","","","","安靜","Match-cut","Cut","Medium","Build","承","Film-grain","ms shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S014","19","2","14","2.9","MLS","Low-angle","Static","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","Front","Soft","Dynamic","MG-focus","Normal","Lead-right","小豆子娘","痛楚","按刀","Down","Enter-L","胡同磨刀攤","日間","雪天","毡帽","破舊棉襖","白灰血紅","","衣物摩擦","","嘈雜","J-cut","Cut","Medium","Build","承","Film-grain","mls shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S015","19","2","15","2.7","LS","Low-angle","Pan-L","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","Side-L","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小豆子娘","痛楚","按刀","Off-screen-L","Cross","胡同磨刀攤","日間","雪天","菜刀","老式旗袍","白灰血紅","娘，我手冷","環境音","","空曠","L-cut","Cut","Medium","Build","承","Film-grain","ls shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S016","19","2","16","3.1","ELS","Low-angle","Pan-R","Normal 35mm","Shallow","Natural","Low-key","Neutral-5600K","Side-R","Soft","Center","BG-focus","Normal","Lead-right","小豆子","茫然","按刀","Off-screen-R","Turn","胡同磨刀攤","日間","雪天","磨刀石","破舊棉襖","白灰血紅","","人群嘈雜","","壓抑","Cut","Cut","Medium","Build","承","Film-grain","els shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S017","19","3","17","3.1","OTS","Low-angle","Tilt-up","Normal 35mm","Shallow","Natural","Low-key","Neutral-5600K","Back","Soft","Golden-ratio","BG-focus","Normal","Lead-right","小豆子","恐懼","顫抖","Down","Enter-R","關家堂屋","黃昏","室內","茶碗","長袍","暗褐暖光","","人群嘈雜","","壓抑","Dissolve","Cut","Medium","Build","承","Film-grain","ots shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S018","19","3","18","3.3","POV","Low-angle","Tilt-down","Normal 50mm","Shallow","Natural","Low-key","Neutral-5600K","Top","Soft","Symmetry","BG-focus","Normal","Lead-right","小豆子","審視","跪地","Up","Cross","關家堂屋","黃昏","室內","契約","破襖","暗褐暖光","","呼吸聲","","嘈雜","Fade-in","Cut","Medium","Build","承","Film-grain","pov shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S019","19","3","19","3.7","2Shot","Low-angle","Dolly-in","Normal 50mm","Shallow","Natural","Low-key","Neutral-5600K","Bottom","Soft","Dynamic","BG-focus","Normal","Lead-right","關師傅","恐懼","跪地","Off-screen-R","Enter-R","關家堂屋","黃昏","室內","祖師爺牌位","長袍","暗褐暖光","","衣物摩擦","","嘈雜","Fade-out","Cut","Medium","Build","承","Film-grain","2shot shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S020","19","3","20","2.2","ECU","Low-angle","Dolly-out","Normal 50mm","Rack-focus","Natural","Low-key","Cool-7000K","3-point","None","Rule-of-thirds","BG-focus","Loose","Center","關師傅","審視","跪地","Off-screen-R","Exit-R","關家堂屋","黃昏","室內","茶碗","長袍","暗褐暖光","沒吃戲飯的命","風聲","悲傷二胡","安靜","Wipe","Cut","Medium","Build","承","Film-grain","ecu shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S021","19","3","21","3.4","CU","Dutch","Truck-L","Normal 50mm","Rack-focus","Natural","Low-key","Cool-7000K","Front","None","Center","BG-focus","Loose","Center","師兄弟們","堅持","互助","Off-screen-L","Enter-L","練功房","各時段","室內","靶子","練功服","青灰木色","","人群嘈雜","","壓抑","Match-cut","Cut","Fast","Tension","承","Film-grain","cu shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S022","19","3","22","2.7","MCU","Dutch","Truck-R","Normal 50mm","Rack-focus","Natural","Low-key","Cool-7000K","Side-L","None","Golden-ratio","BG-focus","Loose","Center","師兄弟們","痛苦","互助","Camera","Turn","練功房","各時段","室內","水袖","練功服","青灰木色","","人群嘈雜","","迴響","J-cut","Cut","Fast","Tension","承","Film-grain","mcu shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S023","19","3","23","3.9","MS","Dutch","Crane-up","Normal 50mm","Rack-focus","Natural","Low-key","Cool-7000K","Side-R","None","Symmetry","BG-focus","Loose","Center","師兄弟們","痛苦","壓腿","Up","Enter-L","練功房","各時段","室內","靶子","練功服","青灰木色","","人群嘈雜","","迴響","L-cut","Cut","Fast","Tension","承","Film-grain","ms shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S024","19","3","24","3.9","MLS","Dutch","Crane-down","Tele 85mm","Rack-focus","Practical","Low-key","Cool-7000K","Back","None","Dynamic","Deep-all","Loose","Center","小石頭","堅持","唱腔","Camera","Enter-L","練功房","各時段","室內","水袖","練功服","青灰木色","","呼吸聲","","嘈雜","Cut","Cut","Fast","Tension","承","Film-grain","mls shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S025","19","4","25","3.1","LS","Dutch","Handheld","Tele 85mm","Rack-focus","Practical","Low-key","Cool-7000K","Top","None","Rule-of-thirds","Deep-all","Loose","Center","觀眾","入戲","舞劍","Off-screen-L","Cross","戲園子","夜間","室內","胡琴","霸王戲服","濃艷戲彩","虞兮虞兮奈若何","人群嘈雜","","安靜","Dissolve","Cut","Fast","Tension","承","Film-grain","ls shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S026","19","4","26","2.1","ELS","Dutch","Steadicam","Tele 85mm","Rack-focus","Practical","Low-key","Cool-7000K","Bottom","None","Center","Deep-all","Loose","Center","觀眾","癡迷","亮相","Camera","Enter-R","戲園子","夜間","室內","道具劍","霸王戲服","濃艷戲彩","","呼吸聲","","嘈雜","Fade-in","Cut","Fast","Tension","承","Film-grain","els shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S027","19","4","27","3.0","OTS","Dutch","Drone","Tele 85mm","Rack-focus","Practical","Low-key","Cool-7000K","3-point","None","Golden-ratio","Deep-all","Loose","Center","觀眾","入戲","舞劍","Up","Exit-R","戲園子","夜間","室內","胡琴","霸王戲服","濃艷戲彩","","鑼鼓聲","","空曠","Fade-out","Cut","Fast","Tension","承","Film-grain","ots shot, dutch","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S028","19","4","28","3.4","POV","Bird-eye","Static","Tele 85mm","Rack-focus","Practical","Low-key","Cool-7000K","Front","None","Symmetry","Deep-all","Loose","Center","段小樓","霸氣","舞劍","Off-screen-L","Static","戲園子","夜間","室內","胡琴","霸王戲服","濃艷戲彩","","環境音","","壓抑","Wipe","Cut","Fast","Tension","承","Film-grain","pov shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S029","19","4","29","3.7","2Shot","Bird-eye","Pan-L","Tele 85mm","Rack-focus","Practical","Low-key","Cool-7000K","Side-L","None","Dynamic","Deep-all","Loose","Center","段小樓","糾結","對話","Down","Static","後台化妝間","夜間","室內","頭面","戲服/便裝","暗紅暖光","","衣物摩擦","","壓抑","Match-cut","Cut","Fast","Tension","承","Film-grain","2shot shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S030","19","4","30","3.4","ECU","Bird-eye","Pan-R","Tele 135mm","Split-diopter","Practical","Low-key","Mixed","Side-R","Dramatic","Rule-of-thirds","Deep-all","Cropped","Off-frame","程蝶衣","深情","化妝","Up","Exit-R","後台化妝間","夜間","室內","化妝鏡","戲服/便裝","暗紅暖光","蝶衣","風聲","緊張弦樂","壓抑","J-cut","Cut","Fast","Tension","承","Film-grain","ecu shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S031","19","4","31","3.6","CU","Bird-eye","Tilt-up","Tele 135mm","Split-diopter","Practical","Low-key","Mixed","Back","Dramatic","Center","Deep-all","Cropped","Off-frame","程蝶衣","深情","對話","Up","Enter-L","後台化妝間","夜間","室內","化妝鏡","戲服/便裝","暗紅暖光","","鑼鼓聲","","迴響","L-cut","Cut","Fast","Climax","承","Film-grain","cu shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S032","19","4","32","3.2","MCU","Bird-eye","Tilt-down","Tele 135mm","Split-diopter","Mixed","Low-key","Mixed","Top","Dramatic","Golden-ratio","Layered","Cropped","Off-frame","程蝶衣","深情","凝視","Off-screen-L","Enter-R","後台化妝間","夜間","室內","頭面","戲服/便裝","暗紅暖光","","人群嘈雜","","嘈雜","Cut","Cut","Fast","Climax","承","Film-grain","mcu shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S033","19","5","33","3.8","MS","Bird-eye","Dolly-in","Tele 135mm","Split-diopter","Mixed","Low-key","Mixed","Bottom","Dramatic","Symmetry","Layered","Cropped","Off-frame","段小樓","絕望","摔門","Up","Exit-L","各場景","各時段","各天氣","各種","各式","高對比","","衣物摩擦","","迴響","Dissolve","Cut","Fast","Climax","承","Film-grain","ms shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S034","19","5","34","2.2","MLS","Bird-eye","Dolly-out","Tele 135mm","Split-diopter","Mixed","Low-key","Mixed","3-point","Dramatic","Dynamic","Layered","Cropped","Off-frame","段小樓","憤怒","流淚","Up","Turn","各場景","各時段","各天氣","各種","各式","高對比","","呼吸聲","","迴響","Fade-in","Cut","Fast","Climax","承","Film-grain","mls shot, bird-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S035","19","5","35","2.6","LS","Worm-eye","Truck-L","Tele 135mm","Split-diopter","Mixed","Low-key","Mixed","Front","Dramatic","Rule-of-thirds","Layered","Cropped","Off-frame","段小樓","絕望","流淚","Off-screen-L","Static","各場景","各時段","各天氣","各種","各式","高對比","你變了","","","壓抑","Fade-out","Cut","Fast","Climax","承","Film-grain","ls shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S036","19","5","36","3.5","ELS","Worm-eye","Truck-R","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Side-L","Dramatic","Center","Layered","Cropped","Off-frame","段小樓","絕望","爭吵","Down","Cross","各場景","各時段","各天氣","各種","各式","高對比","","鑼鼓聲","","壓抑","Wipe","Cut","Fast","Climax","承","Film-grain","els shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S037","19","5","37","3.1","OTS","Worm-eye","Crane-up","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Side-R","Dramatic","Golden-ratio","Layered","Cropped","Off-frame","程蝶衣","覺醒","轉變","Camera","Turn","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","","","壓抑","Match-cut","Cut","Fast","Climax","承","Film-grain","ots shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S038","19","5","38","2.0","POV","Worm-eye","Crane-down","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Back","Dramatic","Symmetry","Layered","Cropped","Off-frame","段小樓","抉擇","轉變","Down","Exit-R","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","腳步聲","","迴響","J-cut","Cut","Slow","Release","承","Film-grain","pov shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S039","19","5","39","2.3","2Shot","Worm-eye","Handheld","Wide 16mm","Split-diopter","Mixed","Low-key","Mixed","Top","Dramatic","Dynamic","Layered","Cropped","Off-frame","段小樓","抉擇","關鍵動作","Down","Cross","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","衣物摩擦","","空曠","L-cut","Cut","Slow","Release","承","Film-grain","2shot shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E019_S040","19","5","40","3.8","ECU","Worm-eye","Steadicam","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","段小樓","崩潰","關鍵動作","Off-screen-L","Static","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","我本是男兒郎","風聲","京劇過門","壓抑","Cut","Fade-out","Slow","Release","承","Film-grain","ecu shot, worm-eye","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S001","20","1","1","3.7","CU","Eye-level","Pan-L","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Side-L","Harsh","Center","FG-focus","Tight","Lead-left","管場人","懷舊","緩步走來","Up","Exit-R","現代劇院","日間","室內","聚光燈","便裝","灰藍冷色","","人群嘈雜","","嘈雜","Fade-in","Cut","Slow","Setup","承","Film-grain","cu shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S002","20","1","2","3.7","MCU","Eye-level","Pan-R","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Side-R","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","段小樓","懷舊","對話交談","Up","Exit-R","現代劇院","日間","室內","舞台","工作服","灰藍冷色","","風聲","","安靜","Fade-in","Cut","Slow","Setup","承","Film-grain","mcu shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S003","20","1","3","2.8","MS","Eye-level","Tilt-up","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Back","Harsh","Symmetry","FG-focus","Tight","Lead-left","管場人","滄桑","環顧四周","Off-screen-L","Cross","現代劇院","日間","室內","聚光燈","便裝","灰藍冷色","","腳步聲","","安靜","Fade-out","Cut","Slow","Setup","承","Film-grain","ms shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S004","20","1","4","2.3","MLS","Eye-level","Tilt-down","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Top","Harsh","Dynamic","FG-focus","Tight","Lead-left","管場人","懷舊","環顧四周","Down","Enter-L","現代劇院","日間","室內","舞台","便裝","灰藍冷色","","","","安靜","Wipe","Cut","Slow","Setup","承","Film-grain","mls shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S005","20","1","5","3.9","LS","Eye-level","Dolly-in","Wide 16mm","Deep","Hard-key","Low-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","小豆子","市井","牽手走路","Down","Exit-R","北平廟會","日間","雪天","年貨","破舊棉襖","暖黃雜色","臭婊子","","","迴響","Match-cut","Cut","Slow","Setup","承","Film-grain","ls shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S006","20","1","6","3.0","ELS","Eye-level","Dolly-out","Wide 24mm","Deep","Hard-key","Low-key","Warm-3200K","3-point","Harsh","Center","FG-focus","Tight","Lead-left","小豆子","決絕","躲避搭訕","Down","Enter-L","北平廟會","日間","雪天","攤販貨物","各色服飾","暖黃雜色","","呼吸聲","","安靜","J-cut","Cut","Medium","Build","承","Film-grain","els shot, eye-level","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S007","20","1","7","2.4","OTS","High-angle","Truck-L","Wide 24mm","Deep","Hard-key","Low-key","Warm-3200K","Front","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","路人","市井","牽手走路","Up","Exit-L","北平廟會","日間","雪天","糖葫蘆","破舊棉襖","暖黃雜色","","環境音","","空曠","L-cut","Cut","Medium","Build","承","Film-grain","ots shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S008","20","1","8","2.6","POV","High-angle","Truck-R","Wide 24mm","Deep","Soft-key","Low-key","Warm-3200K","Side-L","Harsh","Symmetry","MG-focus","Tight","Lead-left","小豆子","畏怯","張望","Off-screen-L","Static","北平廟會","日間","雪天","糖葫蘆","老式旗袍","暖黃雜色","","人群嘈雜","","空曠","Cut","Cut","Medium","Build","承","Film-grain","pov shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S009","20","2","9","3.2","2Shot","High-angle","Crane-up","Wide 24mm","Deep","Soft-key","Low-key","Warm-3200K","Side-R","Harsh","Dynamic","MG-focus","Tight","Lead-left","關師傅","堅毅","揮打","Off-screen-R","Exit-R","關家科班","黃昏","陰冷","刀胚子","練功服","土褐暗色","","","","空曠","Dissolve","Cut","Medium","Build","承","Film-grain","2shot shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S010","20","2","10","3.1","ECU","High-angle","Crane-down","Wide 24mm","Shallow","Soft-key","Low-key","Neutral-5600K","Back","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","學徒們","恐懼","偷看","Off-screen-L","Enter-L","關家科班","黃昏","陰冷","竹竿","破衣","土褐暗色","都給我拿穩了","人群嘈雜","緊張弦樂","空曠","Fade-in","Cut","Medium","Build","承","Film-grain","ecu shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S011","20","2","11","2.7","CU","High-angle","Handheld","Wide 24mm","Shallow","Soft-key","Low-key","Neutral-5600K","Top","Soft","Center","MG-focus","Normal","Lead-right","小石頭","麻木","耗頂","Off-screen-R","Enter-R","關家科班","黃昏","陰冷","練功墊","練功服","土褐暗色","","環境音","","嘈雜","Fade-out","Cut","Medium","Build","承","Film-grain","cu shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S012","20","2","12","3.8","MCU","High-angle","Steadicam","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","Bottom","Soft","Golden-ratio","MG-focus","Normal","Lead-right","小癩子","恐懼","哭泣","Off-screen-L","Exit-L","關家科班","黃昏","陰冷","刀胚子","練功服","土褐暗色","","呼吸聲","","壓抑","Wipe","Cut","Medium","Build","承","Film-grain","mcu shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S013","20","2","13","3.3","MS","High-angle","Drone","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","3-point","Soft","Symmetry","MG-focus","Normal","Lead-right","小豆子娘","決絕","站立","Down","Enter-R","胡同磨刀攤","日間","雪天","毡帽","老式旗袍","白灰血紅","","環境音","","壓抑","Match-cut","Cut","Medium","Build","承","Film-grain","ms shot, high-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S014","20","2","14","2.9","MLS","Low-angle","Static","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","Front","Soft","Dynamic","MG-focus","Normal","Lead-right","小豆子娘","茫然","掙扎","Camera","Enter-L","胡同磨刀攤","日間","雪天","毡帽","破舊棉襖","白灰血紅","","呼吸聲","","迴響","J-cut","Cut","Medium","Build","承","Film-grain","mls shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
"E020_S015","20","2","15","2.6","LS","Low-angle","Pan-L","Normal 35mm","Shallow","Soft-key","Low-key","Neutral-5600K","Side-L","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小豆子娘","茫然","擁抱","Off-screen-L","Enter-R","胡同磨刀攤","日間","雪天","毡帽","破舊棉襖","白灰血紅","娘，我手冷","人群嘈雜","","安靜","L-cut","Cut","Medium","Build","承","Film-grain","ls shot, low-angle","Tense","low-key lighting","《霸王別姬》陳凱歌 1Mo"
